Date,Category,Description,Amount,Payment_Method,Merchant
2024-01-29,Food & Dining,Starbucks Coffee,1898.21,Credit Card,Starbucks Store
2024-01-30,Travel,Train Ticket Booking,34281.49,Credit Card,Train Store
2024-01-31,Food & Dining,Bakery Snacks,3681.05,Upi / Net Banking,Bakery Store
2024-01-31,Groceries,Whole Foods Market,2964.76,Upi / Net Banking,Whole Store
2024-02-01,Housing & Rent,Monthly Apartment Rent,111060.64,Upi / Net Banking,Oakridge Apartments
2024-02-03,Food & Dining,Chipotle Bowl,3349.88,Credit Card,Chipotle Store
2024-02-03,Food & Dining,Starbucks Coffee,1908.17,Debit Card,Starbucks Store
2024-02-04,Groceries,Walmart Supercenter,-3735.0,Upi / Net Banking,Walmart Store
2024-02-04,Shopping,Home Depot Tools,12199.34,Debit Card,Home Store
2024-02-04,Groceries,Trader Joes Groceries,4996.6,Upi / Net Banking,Trader Store
2024-02-04,Food & Dining,Starbucks Coffee,2677.58,Credit Card,Starbucks Store
2024-02-05,Food & Dining,Bakery Snacks,1957.97,Debit Card,Bakery Store
2024-02-05,Entertainment,Fiber Internet & Streaming Subscription,5297.89,Credit Card,NetSpeed Telecom
2024-02-05,Transportation,Uber Ride,1298.95,Cash,Uber Store
2024-02-05,Groceries,Target Groceries,10403.22,Upi / Net Banking,Target Store
2024-02-05,Transportation,Uber Ride,1767.07,Upi / Net Banking,Uber Store
2024-02-05,Food & Dining,Local Diner Dinner,1161.17,Cash,Local Store
2024-02-06,Groceries,Target Groceries,4177.39,Credit Card,Target Store
2024-02-06,Travel,Train Ticket Booking,18150.44,Credit Card,Train Store
2024-02-07,Food & Dining,Chipotle Bowl,1735.53,Credit Card,Chipotle Store
2024-02-07,Food & Dining,Bakery Snacks,2218.59,Upi / Net Banking,Bakery Store
2024-02-07,Transportation,City Parking Meter,4113.48,Debit Card,City Store
2024-02-08,Groceries,Whole Foods Market,12140.41,Credit Card,Whole Store
2024-02-08,Food & Dining,Chipotle Bowl,1443.37,Debit Card,Chipotle Store
2024-02-08,Healthcare,Vision Clinic Eyeglasses,7554.66,Cash,Vision Store
2024-02-08,Food & Dining,Subway Lunch,2193.69,Debit Card,Subway Store
2024-02-09,Groceries,Whole Foods Market,12950.49,Credit Card,Whole Store
2024-02-09,Groceries,Walmart Supercenter,9305.96,Upi / Net Banking,Walmart Store
2024-02-10,Food & Dining,Bakery Snacks,3127.44,Credit Card,Bakery Store
2024-02-10,Groceries,Trader Joes Groceries,4037.12,Credit Card,Trader Store
2024-02-10,Healthcare,CVS Pharmacy Medicines,2236.85,Cash,CVS Store
2024-02-11,Transportation,Uber Ride,5202.44,Credit Card,Uber Store
2024-02-11,Food & Dining,Subway Lunch,840.79,Upi / Net Banking,Subway Store
2024-02-11,Shopping,Bookstore Purchase,9169.01,Debit Card,Bookstore Store
2024-02-11,Food & Dining,Local Diner Dinner,3102.54,Credit Card,Local Store
2024-02-12,Transportation,Gas Station Refill,3647.02,Upi / Net Banking,Gas Store
2024-02-12,Groceries,Target Groceries,9289.36,Debit Card,Target Store
2024-02-12,Transportation,Uber Ride,4478.68,Credit Card,Uber Store
2024-02-13,Food & Dining,Chipotle Bowl,3481.02,Credit Card,Chipotle Store
2024-02-13,Food & Dining,Bakery Snacks,877.31,Upi / Net Banking,Bakery Store
2024-02-13,Shopping,Amazon Electronics,5875.57,Upi / Net Banking,Amazon Store
2024-02-15,Food & Dining,Bakery Snacks,3377.27,Cash,Bakery Store
2024-02-15,Utilities,Electric & Water Utility Bill,10913.67,Credit Card,City Power & Water
2024-02-15,Groceries,Whole Foods Market,8500.03,Debit Card,Whole Store
2024-02-16,Shopping,Home Depot Tools,11533.68,Debit Card,Home Store
2024-02-16,Food & Dining,Starbucks Coffee,2538.97,Cash,Starbucks Store
2024-02-16,Travel,Flight Ticket Deposit,7421.86,Upi / Net Banking,Flight Store
2024-02-18,Food & Dining,Starbucks Coffee,3615.48,Credit Card,Starbucks Store
2024-02-18,Transportation,City Parking Meter,3701.8,Debit Card,City Store
2024-02-18,Food & Dining,Starbucks Coffee,3718.4,Debit Card,Starbucks Store
2024-02-18,Food & Dining,Starbucks Coffee,1616.01,Debit Card,Starbucks Store
2024-02-18,Transportation,Uber Ride,3011.24,Credit Card,Uber Store
2024-02-19,Shopping,,7286.57,Credit Card,Amazon Store
2024-02-20,Food & Dining,Starbucks Coffee,3579.79,Cash,Starbucks Store
2024-02-20,Food & Dining,Bakery Snacks,984.38,Credit Card,Bakery Store
2024-02-20,Groceries,Whole Foods Market,5195.8,Credit Card,Whole Store
2024-02-21,Groceries,Trader Joes Groceries,6475.66,Upi / Net Banking,Trader Store
2024-02-21,Food & Dining,Local Diner Dinner,1437.56,Debit Card,Local Store
2024-02-22,Food & Dining,Bakery Snacks,2988.83,Upi / Net Banking,Bakery Store
2024-02-22,Food & Dining,Starbucks Coffee,1012.6,Credit Card,Starbucks Store
2024-02-23,Groceries,Whole Foods Market,5419.07,Credit Card,Whole Store
2024-02-23,Food & Dining,Local Diner Dinner,2386.25,Debit Card,Local Store
2024-02-23,Food & Dining,Bakery Snacks,1723.91,Credit Card,Bakery Store
2024-02-24,Food & Dining,Chipotle Bowl,2480.04,Credit Card,Chipotle Store
2024-02-24,Food & Dining,Chipotle Bowl,1810.23,Debit Card,Chipotle Store
2024-02-24,Food & Dining,Local Diner Dinner,3242.81,Upi / Net Banking,Local Store
2024-02-26,Transportation,Uber Ride,1405.19,Upi / Net Banking,Uber Store
2024-02-26,Transportation,Metro Monthly Pass,5054.7,Credit Card,Metro Store
2024-02-27,Food & Dining,Subway Lunch,1144.57,Debit Card,Subway Store
2024-02-27,Food & Dining,Local Diner Dinner,3666.94,Credit Card,Local Store
2024-02-28,Groceries,Whole Foods Market,4769.18,Credit Card,Whole Store
2024-02-28,Groceries,Whole Foods Market,3852.03,Upi / Net Banking,Whole Store
2024-02-28,Healthcare,Vision Clinic Eyeglasses,6254.05,Cash,Vision Store
2024-02-28,Food & Dining,Starbucks Coffee,2153.02,Credit Card,Starbucks Store
2024-02-29,Food & Dining,Starbucks Coffee,1406.85,Cash,Starbucks Store
2024-03-01,Housing & Rent,Monthly Apartment Rent,111176.84,Upi / Net Banking,Oakridge Apartments
2024-03-01,Shopping,Bookstore Purchase,8177.99,Upi / Net Banking,Bookstore Store
2024-03-01,Transportation,Gas Station Refill,2467.59,Credit Card,Gas Store
2024-03-01,Food & Dining,Subway Lunch,1351.24,Credit Card,Subway Store
2024-03-02,Food & Dining,Bakery Snacks,2905.0,Cash,Bakery Store
2024-03-02,Food & Dining,Starbucks Coffee,2870.14,Upi / Net Banking,Starbucks Store
2024-03-02,Healthcare,CVS Pharmacy Medicines,3128.27,Credit Card,CVS Store
2024-03-03,Shopping,Emergency Laptop Replacement,153550.0,Credit Card,Amazon Store
2024-03-03,Food & Dining,Starbucks Coffee,1629.29,Cash,Starbucks Store
2024-03-03,Food & Dining,Starbucks Coffee,3642.87,Upi / Net Banking,Starbucks Store
2024-03-04,Travel,Weekend Hotel Stay,22949.5,Upi / Net Banking,Weekend Store
2024-03-05,Groceries,Target Groceries,9991.54,Upi / Net Banking,Target Store
2024-03-05,Entertainment,Fiber Internet & Streaming Subscription,5199.95,Credit Card,NetSpeed Telecom
2024-03-05,Food & Dining,Starbucks Coffee,2664.3,Upi / Net Banking,Starbucks Store
2024-03-06,Shopping,Home Depot Tools,9065.26,Upi / Net Banking,Home Store
2024-03-06,Transportation,Uber Ride,1381.95,Upi / Net Banking,Uber Store
2024-03-06,Shopping,Amazon Electronics,2675.92,Upi / Net Banking,Amazon Store
2024-03-06,Food & Dining,Subway Lunch,3145.7,Credit Card,Subway Store
2024-03-07,Shopping,Clothing Purchase,4494.45,Debit Card,Clothing Store
2024-03-08,Food & Dining,Starbucks Coffee,2180.41,Cash,Starbucks Store
2024-03-08,Shopping,Bookstore Purchase,10855.57,Credit Card,Bookstore Store
2024-03-09,Food & Dining,Bakery Snacks,1952.99,Cash,Bakery Store
2024-03-09,Transportation,Uber Ride,3027.01,Cash,Uber Store
2024-03-09,Food & Dining,Local Diner Dinner,3627.93,Debit Card,Local Store
2024-03-10,Transportation,City Parking Meter,3204.63,Debit Card,City Store
2024-03-10,Food & Dining,Local Diner Dinner,3276.84,Debit Card,Local Store
2024-03-10,Transportation,Metro Monthly Pass,2037.65,Cash,Metro Store
2024-03-11,Transportation,City Parking Meter,3240.32,Upi / Net Banking,City Store
2024-03-13,Groceries,Target Groceries,7168.71,Debit Card,Target Store
2024-03-13,Healthcare,CVS Pharmacy Medicines,8754.84,Debit Card,CVS Store
2024-03-13,Food & Dining,Starbucks Coffee,1866.67,Cash,Starbucks Store
2024-03-15,Food & Dining,Bakery Snacks,784.35,Credit Card,Bakery Store
2024-03-15,Utilities,Electric & Water Utility Bill,12160.33,Credit Card,City Power & Water
2024-03-15,Food & Dining,Chipotle Bowl,3437.86,Cash,Chipotle Store
2024-03-15,Groceries,Target Groceries,12664.97,Upi / Net Banking,Target Store
2024-03-16,Shopping,Clothing Purchase,10009.8,Credit Card,Clothing Store
2024-03-16,Food & Dining,Starbucks Coffee,1644.23,Debit Card,Starbucks Store
2024-03-16,Groceries,Walmart Supercenter,9539.19,Upi / Net Banking,Walmart Store
2024-03-16,Food & Dining,Bakery Snacks,698.03,Credit Card,Bakery Store
2024-03-17,Groceries,Target Groceries,7062.47,Upi / Net Banking,Target Store
2024-03-17,Groceries,Walmart Supercenter,3583.94,Credit Card,Walmart Store
2024-03-18,Food & Dining,Subway Lunch,2783.82,Credit Card,Subway Store
2024-03-18,Food & Dining,Chipotle Bowl,3620.46,Cash,Chipotle Store
2024-03-19,Transportation,Uber Ride,1288.99,Cash,Uber Store
2024-03-19,Groceries,Target Groceries,11857.38,Debit Card,Target Store
2024-03-19,Shopping,Clothing Purchase,3403.83,Debit Card,Clothing Store
2024-03-20,Groceries,Trader Joes Groceries,10087.82,Credit Card,Trader Store
2024-03-20,Transportation,City Parking Meter,1269.9,Cash,City Store
2024-03-21,Groceries,Trader Joes Groceries,8658.56,Debit Card,Trader Store
2024-03-22,Groceries,Walmart Supercenter,12175.27,Upi / Net Banking,Walmart Store
2024-03-22,Food & Dining,Local Diner Dinner,3257.75,Debit Card,Local Store
2024-03-22,Transportation,Uber Ride,3873.61,Debit Card,Uber Store
2024-03-22,Transportation,City Parking Meter,4562.51,Credit Card,City Store
2024-03-22,Transportation,Uber Ride,2670.11,Cash,Uber Store
2024-03-23,Shopping,Clothing Purchase,11487.2,Debit Card,Clothing Store
2024-03-23,Transportation,Uber Ride,1621.82,Credit Card,Uber Store
2024-03-24,Groceries,Trader Joes Groceries,10019.76,Upi / Net Banking,Trader Store
2024-03-24,Groceries,Trader Joes Groceries,4431.37,Upi / Net Banking,Trader Store
2024-03-24,Groceries,Trader Joes Groceries,11737.03,Credit Card,Trader Store
2024-03-24,Shopping,Amazon Electronics,2113.18,Debit Card,Amazon Store
2024-03-24,Groceries,Trader Joes Groceries,4012.22,Credit Card,Trader Store
2024-03-24,Food & Dining,Starbucks Coffee,1090.62,Credit Card,Starbucks Store
2024-03-25,Groceries,Trader Joes Groceries,13961.43,Debit Card,Trader Store
2024-03-25,Food & Dining,Chipotle Bowl,1040.82,Upi / Net Banking,Chipotle Store
2024-03-26,Groceries,Whole Foods Market,10953.51,Upi / Net Banking,Whole Store
2024-03-27,Transportation,Uber Ride,1206.82,Cash,Uber Store
2024-03-27,Transportation,Metro Monthly Pass,3895.19,Upi / Net Banking,Metro Store
2024-03-27,Groceries,Trader Joes Groceries,5665.58,Debit Card,Trader Store
2024-03-27,Travel,Train Ticket Booking,25156.47,Upi / Net Banking,Train Store
2024-03-28,Transportation,City Parking Meter,4219.72,Upi / Net Banking,City Store
2024-03-29,Groceries,Walmart Supercenter,13304.07,Credit Card,Walmart Store
2024-03-30,Food & Dining,Subway Lunch,1464.95,Upi / Net Banking,Subway Store
2024-03-30,Healthcare,Vision Clinic Eyeglasses,9559.11,Credit Card,Vision Store
2024-03-30,Healthcare,Vision Clinic Eyeglasses,8239.41,Credit Card,Vision Store
2024-03-31,Shopping,Clothing Purchase,6483.96,Debit Card,Clothing Store
2024-04-01,Food & Dining,Subway Lunch,952.84,Upi / Net Banking,Subway Store
2024-04-01,Food & Dining,Subway Lunch,3137.4,Cash,Subway Store
2024-04-01,Housing & Rent,Monthly Apartment Rent,109025.48,Upi / Net Banking,Oakridge Apartments
2024-04-02,Shopping,Amazon Electronics,6861.61,Debit Card,Amazon Store
2024-04-03,Food & Dining,Local Diner Dinner,1202.67,Cash,Local Store
2024-04-04,Food & Dining,Chipotle Bowl,1090.62,Cash,Chipotle Store
2024-04-05,Entertainment,Fiber Internet & Streaming Subscription,5201.61,Credit Card,NetSpeed Telecom
2024-04-05,Food & Dining,Bakery Snacks,1396.89,Upi / Net Banking,Bakery Store
2024-04-05,Groceries,Walmart Supercenter,8002.03,Credit Card,Walmart Store
2024-04-05,Food & Dining,Starbucks Coffee,2691.69,Credit Card,Starbucks Store
2024-04-06,Transportation,Gas Station Refill,5088.73,Cash,Gas Store
2024-04-06,Food & Dining,Local Diner Dinner,2718.25,Credit Card,Local Store
2024-04-07,Shopping,Amazon Electronics,6284.76,Credit Card,Amazon Store
2024-04-07,Food & Dining,Bakery Snacks,720.44,Debit Card,Bakery Store
2024-04-07,Groceries,Whole Foods Market,13100.72,Upi / Net Banking,Whole Store
2024-04-08,Food & Dining,Starbucks Coffee,679.77,Cash,Starbucks Store
2024-04-08,Food & Dining,Starbucks Coffee,706.33,Upi / Net Banking,Starbucks Store
2024-04-08,Groceries,Target Groceries,14466.07,Credit Card,Target Store
2024-04-09,Food & Dining,Subway Lunch,1464.95,Debit Card,Subway Store
2024-04-09,Food & Dining,Starbucks Coffee,2090.77,Credit Card,Starbucks Store
2024-04-09,Food & Dining,Local Diner Dinner,3608.01,Upi / Net Banking,Local Store
2024-04-10,Food & Dining,Bakery Snacks,1171.96,Cash,Bakery Store
2024-04-10,Food & Dining,Chipotle Bowl,3000.45,Debit Card,Chipotle Store
2024-04-11,Transportation,Uber Ride,5375.08,Upi / Net Banking,Uber Store
2024-04-11,Groceries,Trader Joes Groceries,13426.91,Credit Card,Trader Store
2024-04-11,Food & Dining,Subway Lunch,980.23,Credit Card,Subway Store
2024-04-12,Food & Dining,Starbucks Coffee,2660.98,Cash,Starbucks Store
2024-04-13,Food & Dining,Subway Lunch,2075.83,Upi / Net Banking,Subway Store
2024-04-14,Transportation,City Parking Meter,4457.93,Credit Card,City Store
2024-04-14,Transportation,Uber Ride,5218.21,Upi / Net Banking,Uber Store
2024-04-15,Transportation,Gas Station Refill,1155.36,Upi / Net Banking,Gas Store
2024-04-15,Utilities,Electric & Water Utility Bill,10628.15,Credit Card,City Power & Water
2024-04-16,Transportation,Uber Ride,3573.15,Debit Card,Uber Store
2024-04-16,Groceries,Walmart Supercenter,7050.02,Credit Card,Walmart Store
2024-04-16,Groceries,Whole Foods Market,13324.82,Credit Card,Whole Store
2024-04-16,Healthcare,Dental Checkup,4765.03,Credit Card,Dental Store
2024-04-17,Food & Dining,Local Diner Dinner,2141.4,Upi / Net Banking,Local Store
2024-04-17,Groceries,Trader Joes Groceries,8399.6,Credit Card,Trader Store
2024-04-17,Shopping,Home Depot Tools,10764.27,Upi / Net Banking,Home Store
2024-04-17,Food & Dining,Subway Lunch,738.7,Debit Card,Subway Store
2024-04-18,Transportation,City Parking Meter,4448.8,Debit Card,City Store
2024-04-18,Healthcare,CVS Pharmacy Medicines,3940.84,Credit Card,CVS Store
2024-04-18,Travel,Flight Ticket Deposit,12080.65,Credit Card,Flight Store
2024-04-19,Transportation,City Parking Meter,4359.99,Credit Card,City Store
2024-04-20,Food & Dining,Local Diner Dinner,2485.02,Cash,Local Store
2024-04-20,Food & Dining,Subway Lunch,2377.12,Cash,Subway Store
2024-04-20,Food & Dining,Bakery Snacks,2149.7,Debit Card,Bakery Store
2024-04-20,Food & Dining,Starbucks Coffee,2076.66,Cash,Starbucks Store
2024-04-20,Groceries,Trader Joes Groceries,8886.81,Credit Card,Trader Store
2024-04-22,Travel,Weekend Hotel Stay,36490.95,Upi / Net Banking,Weekend Store
2024-04-22,Food & Dining,Subway Lunch,2190.37,Upi / Net Banking,Subway Store
2024-04-22,Food & Dining,Bakery Snacks,1538.82,Credit Card,Bakery Store
2024-04-22,Food & Dining,Chipotle Bowl,1230.89,Upi / Net Banking,Chipotle Store
2024-04-22,Food & Dining,Local Diner Dinner,3423.75,Cash,Local Store
2024-04-22,Transportation,Metro Monthly Pass,4521.01,Upi / Net Banking,Metro Store
2024-04-23,Groceries,Trader Joes Groceries,10084.5,Upi / Net Banking,Trader Store
2024-04-24,Food & Dining,Chipotle Bowl,2400.36,Debit Card,Chipotle Store
2024-04-24,Shopping,Amazon Electronics,11092.95,Upi / Net Banking,Amazon Store
2024-04-25,Travel,Train Ticket Booking,20582.34,Upi / Net Banking,Train Store
2024-04-25,Food & Dining,Bakery Snacks,1846.75,Upi / Net Banking,Bakery Store
2024-04-25,Transportation,Metro Monthly Pass,2974.72,Credit Card,Metro Store
2024-04-26,Transportation,Metro Monthly Pass,4625.59,Upi / Net Banking,Metro Store
2024-04-26,Food & Dining,Subway Lunch,1688.22,Upi / Net Banking,Subway Store
2024-04-26,Groceries,Walmart Supercenter,6869.91,Credit Card,Walmart Store
2024-04-26,Healthcare,Dental Checkup,5863.95,Cash,Dental Store
2024-04-27,Groceries,Trader Joes Groceries,6749.56,Credit Card,Trader Store
2024-04-27,Groceries,Walmart Supercenter,13179.57,Credit Card,Walmart Store
2024-04-27,Transportation,Metro Monthly Pass,1662.49,Debit Card,Metro Store
2024-04-27,Food & Dining,Chipotle Bowl,2261.75,Cash,Chipotle Store
2024-04-28,Groceries,Trader Joes Groceries,7254.2,Debit Card,Trader Store
2024-04-28,Groceries,Walmart Supercenter,10559.26,Upi / Net Banking,Walmart Store
2024-04-28,Food & Dining,Starbucks Coffee,3051.91,Debit Card,Starbucks Store
2024-04-29,Shopping,Clothing Purchase,2957.29,Credit Card,Clothing Store
2024-04-29,Food & Dining,Starbucks Coffee,2636.08,Upi / Net Banking,Starbucks Store
2024-04-30,Groceries,Walmart Supercenter,13431.06,Credit Card,Walmart Store
2024-05-01,Housing & Rent,Monthly Apartment Rent,108402.15,Upi / Net Banking,Oakridge Apartments
2024-05-01,Transportation,City Parking Meter,2390.4,Upi / Net Banking,City Store
2024-05-01,Groceries,Trader Joes Groceries,12450.0,Debit Card,Trader Store
2024-05-01,Food & Dining,Bakery Snacks,2927.41,Credit Card,Bakery Store
2024-05-02,Food & Dining,Starbucks Coffee,2900.02,Cash,Starbucks Store
2024-05-02,Groceries,Target Groceries,8443.59,Upi / Net Banking,Target Store
2024-05-02,Groceries,Trader Joes Groceries,9816.41,Credit Card,Trader Store
2024-05-03,Transportation,Gas Station Refill,2870.14,Upi / Net Banking,Gas Store
2024-05-03,Shopping,Home Depot Tools,7407.75,Upi / Net Banking,Home Store
2024-05-03,Groceries,Whole Foods Market,5734.47,Upi / Net Banking,Whole Store
2024-05-04,Shopping,Clothing Purchase,5332.75,Upi / Net Banking,Clothing Store
2024-05-04,Shopping,Home Depot Tools,7545.53,Upi / Net Banking,Home Store
2024-05-05,Food & Dining,Local Diner Dinner,1380.29,Credit Card,Local Store
2024-05-05,Food & Dining,Subway Lunch,2294.12,Debit Card,Subway Store
2024-05-05,Travel,Flight Ticket Deposit,16197.45,Upi / Net Banking,Flight Store
2024-05-05,Entertainment,Fiber Internet & Streaming Subscription,4679.54,Credit Card,NetSpeed Telecom
2024-05-05,Travel,Weekend Hotel Stay,18479.12,Upi / Net Banking,Weekend Store
2024-05-06,Groceries,Walmart Supercenter,4810.68,Debit Card,Walmart Store
2024-05-06,Food & Dining,Starbucks Coffee,2778.01,Credit Card,Starbucks Store
2024-05-07,Food & Dining,Subway Lunch,3237.0,Upi / Net Banking,Subway Store
2024-05-07,Food & Dining,Chipotle Bowl,765.26,Upi / Net Banking,Chipotle Store
2024-05-07,Food & Dining,Bakery Snacks,3167.28,Credit Card,Bakery Store
2024-05-08,Transportation,Gas Station Refill,2920.77,Credit Card,Gas Store
2024-05-10,Shopping,Bookstore Purchase,5277.14,Debit Card,Bookstore Store
2024-05-10,Food & Dining,Subway Lunch,3119.14,Cash,Subway Store
2024-05-11,Groceries,Trader Joes Groceries,4320.98,Upi / Net Banking,Trader Store
2024-05-11,Groceries,Trader Joes Groceries,7996.22,Debit Card,Trader Store
2024-05-11,Food & Dining,Starbucks Coffee,3358.18,Credit Card,Starbucks Store
2024-05-11,Transportation,Metro Monthly Pass,2969.74,Cash,Metro Store
2024-05-12,Groceries,Whole Foods Market,14075.14,Credit Card,Whole Store
2024-05-12,Groceries,Target Groceries,9735.9,Credit Card,Target Store
2024-05-12,Food & Dining,Chipotle Bowl,2369.65,Credit Card,Chipotle Store
2024-05-13,Shopping,Home Depot Tools,9856.25,Credit Card,Home Store
2024-05-13,Food & Dining,Chipotle Bowl,2592.09,Cash,Chipotle Store
2024-05-13,Food & Dining,Local Diner Dinner,3132.42,Cash,Local Store
2024-05-14,Food & Dining,Chipotle Bowl,2683.39,Credit Card,Chipotle Store
2024-05-15,Food & Dining,Chipotle Bowl,1274.88,Cash,Chipotle Store
2024-05-15,Food & Dining,Subway Lunch,1368.67,Cash,Subway Store
2024-05-15,Shopping,Home Depot Tools,4647.17,Credit Card,Home Store
2024-05-15,Food & Dining,Bakery Snacks,2158.0,Cash,Bakery Store
2024-05-15,Utilities,Electric & Water Utility Bill,8822.9,Credit Card,City Power & Water
2024-05-16,Food & Dining,Subway Lunch,1220.93,Upi / Net Banking,Subway Store
2024-05-17,Food & Dining,Starbucks Coffee,2175.43,Cash,Starbucks Store
2024-05-18,Transportation,City Parking Meter,4403.98,Upi / Net Banking,City Store
2024-05-19,Food & Dining,Chipotle Bowl,3581.45,Credit Card,Chipotle Store
2024-05-20,Transportation,Metro Monthly Pass,3222.89,Debit Card,Metro Store
2024-05-20,Healthcare,CVS Pharmacy Medicines,1293.14,Debit Card,CVS Store
2024-05-21,Transportation,Uber Ride,3171.43,Credit Card,Uber Store
2024-05-21,Shopping,Home Depot Tools,2460.95,Credit Card,Home Store
